,ID,2 кластера,4 кластера,5 кластеров
0,1,2,3,4
1,2,1,4,1
2,3,2,3,4
3,4,2,3,2
4,5,2,3,2
5,6,2,3,2
6,7,2,3,2
7,8,2,3,2
8,9,2,3,4
9,10,1,1,3
10,11,2,2,5
11,12,2,3,2
12,13,1,1,3
13,14,1,1,3
14,15,2,3,2
15,16,1,1,3
16,17,2,2,5
17,18,2,3,4
18,19,2,3,2
19,20,1,1,3
20,21,1,4,1
21,22,2,3,2
22,23,1,4,1
23,24,2,1,3
24,25,2,3,2
25,26,2,3,2
26,27,1,1,3
27,28,2,3,2
28,29,1,2,5
29,30,1,1,3
30,31,2,3,2
31,32,1,4,1
32,33,1,4,1
